电影排名,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDB,摘要,评分,投票,5星,4星,3星,2星,1星
No.1,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦特,弗兰克·德拉邦特、斯蒂芬·金,蒂姆·罗宾斯、摩根·弗里曼、鲍勃·冈顿、威廉·桑德勒、克兰西·布朗、吉尔·贝罗斯、马克·罗斯顿、詹姆斯·惠特摩、杰弗里·德曼、拉里·布兰登伯格、尼尔·吉恩托利、布赖恩·利比、大卫·普罗瓦尔、约瑟夫·劳格诺、祖德·塞克利拉、保罗·麦克兰尼、芮妮·布莱恩、阿方索·弗里曼、V·J·福斯特、弗兰克·梅德拉诺、马克·迈尔斯、尼尔·萨默斯、耐德·巴拉米、布赖恩·戴拉特、唐·麦克马纳斯,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.7,3079607,85.8%,12.7%,1.3%,0.1%,0.1%
No.2,霸王别姬,陈凯歌,芦苇、李碧华,张国荣、张丰毅、巩俐、葛优、英达、蒋雯丽、吴大维、吕齐、雷汉、尹治、马明威、费振翔、智一桐、李春、赵海龙、李丹、童弟、沈慧芬、黄斐、徐杰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。
                                    
                                　　段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。
                        ",9.6,2273580,82.5%,15.2%,1.9%,0.2%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.5,千与千寻 千と千尋の神隠し,宫崎骏,宫崎骏,柊瑠美、入野自由、夏木真理、菅原文太、中村彰男、玉井夕海、神木隆之介、内藤刚志、泽口靖子、我修院达也、大泉洋、小林郁夫、上条恒彦、小野武彦,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。
                                    
                                　　千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消 失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。
                                    
                                　　千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。
                                    
                                　　一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。
                                    
                                　　为了救小白，千寻又踏上了她的冒险之旅。
                        ",9.4,2381703,73.6%,22.8%,3.3%,0.2%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.8,星际穿越 Interstellar,克里斯托弗·诺兰,乔纳森·诺兰、克里斯托弗·诺兰,马修·麦康纳、安妮·海瑟薇、杰西卡·查斯坦、麦肯吉·弗依、卡西·阿弗莱克、迈克尔·凯恩、马特·达蒙、提莫西·查拉梅、艾伦·伯斯汀、约翰·利思戈、韦斯·本特利、大卫·吉亚西、比尔·欧文、托弗·戈瑞斯、科莱特·沃夫、弗朗西斯·X.麦卡蒂、安德鲁·博尔巴、乔什·斯图沃特、莱雅·卡里恩斯、利亚姆·迪金森、杰夫·赫普内尔、伊莱耶斯·加贝尔、布鲁克·史密斯、大卫·奥伊罗、威廉姆·德瓦内、拉什·费加、格里芬·弗雷泽、弗洛拉·诺兰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.4,2004690,75.6%,20.2%,3.6%,0.4%,0.2%
No.9,盗梦空间 Inception,克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥、约瑟夫·高登-莱维特、艾利奥特·佩吉、汤姆·哈迪、渡边谦、迪利普·劳、基里安·墨菲、汤姆·贝伦杰、玛丽昂·歌迪亚、皮特·波斯尔思韦特、迈克尔·凯恩、卢卡斯·哈斯、李太力、克莱尔·吉尔蕾、马格努斯·诺兰、泰勒·吉蕾、乔纳森·吉尔、水源士郎、冈本玉二、厄尔·卡梅伦、瑞恩·海沃德、米兰达·诺兰、拉什·费加、蒂姆·科勒赫、妲露拉·莱莉,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.4,2193299,72.7%,23.4%,3.5%,0.2%,0.1%
No.10,楚门的世界 The Truman Show,彼得·威尔,安德鲁·尼科尔,金·凯瑞、劳拉·琳妮、艾德·哈里斯、诺亚·艾默里奇、娜塔莎·麦克艾霍恩,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。
                                    
                                　　直到有一天，他忽然发觉自己似乎一直在被人跟踪，无论他走到哪里，干什么事情。这种感觉愈来愈强烈。楚门决定不惜一切代价逃离这个他生活了30多年的地方，去寻找他的初恋女友。
                                    
                                　　但他却发现自己怎样也逃不出去。真相其实很残忍。
                        ",9.4,1862437,72.4%,24.1%,3.3%,0.2%,0.1%
No.11,辛德勒的名单 Schindler's List,史蒂文·斯皮尔伯格,托马斯·肯尼利、斯蒂文·泽里安,连姆·尼森、本·金斯利、拉尔夫·费因斯、卡罗琳·古多尔、乔纳森·萨加尔、艾伯丝·戴维兹、马尔戈萨·格贝尔、马克·伊瓦涅、碧翠斯·马科拉、安德烈·瑟韦林、弗里德里希·冯·图恩、克齐斯茨托夫·拉夫特、诺伯特·魏塞尔、维斯瓦夫·科马萨,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。
                                    
                                　　1943年，克拉科夫的犹太人遭到了惨绝人寰的大屠杀，辛德勒目睹这一切，受到了极大的震撼，他贿赂军官，让自己的工厂成为集中营的附属劳役营，在那些疯狂屠杀的日子里，他的工厂也成为了犹太人的避难所。
                                    
                                　　1944年，德国战败前夕，屠杀犹太人的行动越发疯狂，辛德勒向德军军官开出了1200人的名单，倾家荡产买下了这些犹太人的生命。在那些暗无天日的岁月里，拯救一个人，就是拯救全世界。
                        ",9.5,1185051,80.2%,17.3%,2.1%,0.1%,0.2%
No.12,忠犬八公的故事 Hachi: A Dog's Tale,拉斯·霍尔斯道姆,斯蒂芬·P·林赛、新藤兼人,理查·基尔、莎拉·罗默尔、琼·艾伦、罗比·萨布莱特、艾瑞克·阿瓦利、田川洋行、杰森·亚历山大、罗伯特·卡普荣,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.4,1466900,74.9%,21.1%,3.6%,0.3%,0.1%
No.13,海上钢琴师 La leggenda del pianista sull'oceano,朱塞佩·托纳多雷,亚历山德罗·巴里科、朱塞佩·托纳多雷,蒂姆·罗斯、普路特·泰勒·文斯、比尔·努恩、克兰伦斯·威廉姆斯三世、梅兰尼·蒂埃里、皮特·沃恩、尼尔·奥布赖恩、阿尔贝托·巴斯克斯、加布里埃莱·拉维亚、科里·巴克、西德尼·科尔、Luigi De Luca、尼古拉·迪·平托、费米·依鲁福祖、伊斯顿·盖奇、凯文·麦克纳利、布莱恩·普林格、沙拉·鲁宾、希思科特·威廉姆斯、阿妮妲·扎格利亚、安吉洛·迪洛雷塔,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　本片讲述了一个钢琴天才传奇的一生。
                                    
                                　　1900年，Virginian号豪华邮轮上，一个孤儿被遗弃在头等舱，由船上的水手抚养长大，取名1900（蒂姆•罗斯 饰）。1900慢慢长大，显示出了无师自通的非凡钢琴天赋，在船上的乐队表演钢琴，每个听过他演奏的人，都被深深打动。爵士乐鼻祖杰尼听说了1900的高超技艺，专门上船和他比赛，最后自叹弗如，黯然离去。
                                    
                                　　可惜，这一切的事情都发生在海上，1900从来不愿踏上陆地，直到有一天，他爱上了一个女孩，情愫在琴键上流淌。他会不会为了爱情，踏上陆地开始新的生活，用他的琴声惊艳世界？他将怎样谱写自己非凡的人生。
                        ",9.3,1770597,71.0%,24.0%,4.4%,0.4%,0.2%
No.14,三傻大闹宝莱坞 3 Idiots,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉、拉吉库马尔·希拉尼、阿希贾特·乔希,阿米尔·汗、卡琳娜·卡普尔、马达范、沙尔曼·乔希、奥米·瓦依达、博曼·伊拉尼、莫娜·辛格、拉杰夫·拉宾德拉纳特安,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.2,1963581,68.9%,25.4%,4.9%,0.5%,0.2%
No.15,放牛班的春天 Les choristes,克里斯托夫·巴哈蒂,乔治·沙普罗、勒·惠勒、诺埃-诺尔、克里斯托夫·巴哈蒂、菲利普·洛佩斯-屈瓦尔,让-巴蒂斯特·莫尼耶、热拉尔·朱尼奥、弗朗索瓦·贝莱昂、凯德·麦拉德、让-保罗·博奈雷、雅克·贝汉、玛丽·布奈尔、马克桑斯·贝汉、格雷戈里·加迪诺尔、托马斯·布伦门塔尔、西里尔·伯尔尼科特、西蒙·法戈特、泰奥杜尔·卡雷-卡赛尼、菲利普·杜·詹纳兰德、埃里克·德斯玛莱茨、狄迪尔·弗拉蒙、Carole Weiss,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　1949年的法国乡村，音乐家克莱门特（热拉尔·朱尼奥 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗索瓦·贝莱昂 饰）只顾自己的前途，残暴高压。
                                    
                                　　性格沉静的克莱门特尝试用自己的方法改善这种状况，他重新创作音乐作品，组织合唱团，决定用音乐的方法来打开学生们封闭的心灵。
                                    
                                　　然而，事情并不顺利，克莱门特发现学生皮埃尔·莫安琦（让-巴蒂斯特·莫尼耶 饰）拥有非同一般的音乐天赋，但是单亲家庭长大的他，性格异常敏感孤僻，怎样释放皮埃尔的音乐才能，让克莱门特头痛不已；同时，他与皮埃尔母亲的感情也渐渐微妙起来。
                        ",9.3,1392541,71.0%,25.2%,3.5%,0.2%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.17,疯狂动物城 Zootopia,拜伦·霍华德、瑞奇·摩尔、杰拉德·布什,拜伦·霍华德、瑞奇·摩尔、杰拉德·布什、吉姆·里尔顿、乔西·特立尼达、菲尔·约翰斯顿、珍妮弗·李,金妮弗·古德温、杰森·贝特曼、伊德瑞斯·艾尔巴、珍妮·斯蕾特、内特·托伦斯、邦妮·亨特、唐·雷克、汤米·钟、J·K·西蒙斯、奥克塔维亚·斯宾瑟、艾伦·图代克、夏奇拉、雷蒙德·S·佩尔西、德拉·萨巴、莫里斯·拉马奇、菲尔·约翰斯顿、约翰·迪·马吉欧、凯蒂·洛斯、吉塔·雷迪、杰西·科尔蒂、汤米·利斯特、乔希·达拉斯、瑞奇·摩尔、凯斯·索西、彼得·曼斯布里奇、拜伦·霍华德、杰拉德·布什、马克·史密斯、乔西·特立尼达、约翰·拉维尔、克里斯汀·贝尔、吉尔·科德斯、梅利莎·古德温,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是大型肉食类动物的领地，作为第一只，也是唯一的小型食草类动物，朱迪会遇到怎样的故事呢？
                                    
                                　　近日里，城中接连发生动物失踪案件，就在全部警员都致力于调查案件真相之时，朱迪却被局长（伊德瑞斯·艾尔巴 Idris Elba 配音）发配成为了一名无足轻重的交警。某日，正在执勤的兔子遇见了名为尼克（杰森·贝特曼 Jason Bateman 配音）的狐狸，两人不打不相识，之后又误打误撞的接受了寻找失踪的水獭先生的任务，如果不能在两天之内找到水獭先生，朱迪就必须自愿离开警局。朱迪找到了尼克，两人联手揭露了一个隐藏在疯狂动物城之中的惊天秘密。
                        ",9.2,2090703,66.8%,28.5%,4.4%,0.2%,0.1%
No.18,无间道 無間道,刘伟强、麦兆辉,麦兆辉、庄文强,刘德华、梁朝伟、黄秋生、曾志伟、陈慧琳、郑秀文、陈冠希、余文乐、萧亚轩、林家栋、吴廷烨、林迪安、尹志强、许金峰、何华超、利沙华、区轩玮、李天翔、黄燕强、姚文基、余世腾、苏伟南、黎志伟、梁皓楷、张旭燊、袁伟豪、杜汶泽,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　1991年，香港黑帮三合会会员刘健明（刘德华）听从老大韩琛（曾志伟）的吩咐，加入警察部队成为黑帮卧底，韩琛许诺刘健明会帮其在七年后晋升为见习督察。1992年，警察训练学校优秀学员陈永仁（梁朝伟）被上级要求深入到三合会做卧底，终极目标是成为韩琛身边的红人。2002年，两人都不负重望，也都身背重压，刘健明渐想成为一个真正的好人，陈永仁则盼着尽快回归警察身份。
                                    
                                　　重案组从陈永仁手中获悉一批毒品交易情报，锁紧目标人物韩琛，没料情报被刘健明泄出，双方行动均告失败。但此事将双方均有卧底的事实暴露，引发双方高层清除内鬼的决心。命运迥异又相似的刘健明和陈永仁开始在无间道的旅程中接受严峻考验。
                        ",9.3,1464281,69.5%,26.5%,3.8%,0.2%,0.1%
No.19,控方证人 Witness for the Prosecution,比利·怀尔德,比利·怀尔德、哈里·库尼兹、劳伦斯·B·马库斯,泰隆·鲍华、玛琳·黛德丽、查尔斯·劳顿、埃尔莎·兰彻斯特、约翰·威廉姆斯、亨利·丹尼尔、伊安·沃尔夫、托林·撒切尔、诺玛·威登、尤娜·奥康纳、Francis Compton、Philip Tonge、茹塔·李、帕特里克·艾亨、Don Ames、沃尔特·培根、埃迪·贝克、Benjie Bancroft、John Barton、Brandon Beach,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.6,637658,82.3%,15.9%,1.6%,0.1%,0.1%
No.20,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,刘镇伟,刘镇伟、吴承恩,周星驰、吴孟达、朱茵、蔡少芬、蓝洁瑛、莫文蔚、罗家英、刘镇伟、陆树铭、李健仁,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　至尊宝（周星驰 饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵 饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。
                                    
                                　　紫霞与青霞（朱茵 饰）本是如来佛祖座前日月神灯的灯芯（白天是紫霞，晚上是青霞），二人虽然同一肉身却仇恨颇深，因此紫霞立下誓言，谁能拔出她手中的紫青宝剑，谁就是她的意中人。紫青宝剑被至尊宝于不经意间拔出，紫霞决定以身相许，却遭一心记挂白晶晶（莫文蔚 饰）的至尊宝拒绝。后牛魔王救下迷失在沙漠中的紫霞，并逼紫霞与他成婚，关键时刻，至尊宝现身。
                        ",9.2,1618656,66.9%,26.3%,5.9%,0.5%,0.3%
No.21,熔炉 도가니,黄东赫,黄东赫、孔枝泳,孔刘、郑裕美、金贤秀、郑仁絮、白承焕、张光、金民尚、林贤成、金周灵、严孝燮、全国焕、崔镇浩、金志映、严智星、许在浩、张素妍,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　来自首尔的哑语美术老师仁浩（孔宥 饰）来到雾津，应聘慈爱聋哑人学校。天降大雾，他意外撞车，维修时邂逅了人权组织成员柔珍（郑有美 饰）。仁浩妻子早亡，8岁女儿天生哮喘由祖母照看，所以他不辞辛苦谋职养家。然而，双胞胎的校长与教导主任竟逼仁浩索贿5千万韩元。同时，仁浩逐渐发现学校笼罩着一种紧张压抑的气氛，令人窒息。有三个孩子引人关注：聪颖的金妍斗（金贤秀 饰）、贪吃的陈宥利（郑仁絮 饰）和弟弟自杀身亡的全民秀（白承焕 饰），民秀总是满脸淤青。下课后，仁浩还听到女厕所中有呼喊与哭泣，在门卫的阻拦下他未深究。之后。他意外目睹了校长行贿警察，教导员毒打民秀，宿导溺罚妍斗的行径。一个惊天的隐秘被慢慢揭开，真相令韩国震惊……
                                    
                                　　本片取材于2005年光州一所聋哑障碍人学校的真实事件，改编自韩国作家孔枝泳的同名小说。
                        ",9.3,985160,71.5%,24.9%,3.3%,0.2%,0.1%
No.22,教父 The Godfather,弗朗西斯·福特·科波拉,马里奥·普佐、弗朗西斯·福特·科波拉,马龙·白兰度、阿尔·帕西诺、詹姆斯·肯恩、理查德·卡斯特尔诺、罗伯特·杜瓦尔、斯特林·海登、约翰·马利、理查德·康特、艾尔·勒提埃里、黛安·基顿、阿贝·维高达、塔莉娅·夏尔、吉亚尼·罗素、约翰·凯泽尔、鲁迪·邦德、兰尼·蒙大拿,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　40年代的美国，“教父”维托·柯里昂（马龙·白兰度 饰）是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。
                                    
                                　　因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化。圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克（阿尔·帕西诺 饰）也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。
                                    
                                　　年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？
                                    
                                　　血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。
                        ",9.3,1035481,72.2%,22.7%,4.5%,0.4%,0.2%
