名称,简介,药性,功效,适应症
天门冬,,味甘，性寒,养阴生津、清心消渴、润肠通便、抗菌消炎、除燥降火。,阴虚发热、肺燥干咳、虚劳咳嗽、津伤口渴、心烦失眠、咽喉肿痛
石膏,本品为硫酸盐类矿物硬石膏族石膏，主含含水硫酸钙，采挖后，除去泥沙及杂石。别名大石膏、玉大石、白虎、冰石、细理石,甘、辛，大寒。,清热泻火，除烦止渴。用于外感热病，高热烦渴，肺热喘咳，胃火亢盛，头痛，牙痛。,(1)用于温热病、肺胃大热、高热不退、口渴、烦燥、脉洪大等症。(2)用于温病高热，身发斑疹。(3)用于胃火亢盛所致的头痛、齿痛、牙龈肿痛等症。(4)用于肺热咳嗽、气喘。(5)用于湿疹水火烫伤，疮疡溃后不敛及创伤久不收口…
寒水石,又称凝水石、水石、鹊石，是一种矿石中药材，为天然沉积矿物单斜晶系硫酸钙或三方晶系碳酸钙矿石。,"多为规则的块状结晶,常呈斜方柱形,有棱角白色或黄色,表面平滑，有玻璃样。质坚硬而脆，硬度3，比重2.7。气微，味淡。",有清热降火；利窍；消肿的功效;主治热病烦渴，丹毒烫伤。,广泛形成于沉积作用，如海盆或湖盆地中化学沉积的石膏，常与石灰岩、红色页岩、泥灰岩等成层出现…
知母,本品为单子叶植物百合科知母的干燥根茎，又名蒜辫子草、羊胡子根、地参、蚔母、连母、野蓼性味归经苦、甘，寒。归肺、胃、肾经。清热泻火，生津润燥。用于外感热病，高热烦渴，肺热燥咳，骨蒸潮热，内热消渴，肠燥便秘。春秋二季均可采挖，除去须根及泥沙，晒干，习称“毛知母”；或除去外皮，晒干。置通风干燥处，防潮，以备切片入药，生用，或盐水炙用…,,,
芦根,别名 芦茅根、苇根、芦头、芦柴根,甘，寒。归肺、胃经。,体轻质润，降中有升;具有清热生津，和胃止呕，利尿，透疹的功效，清热泻火，生津止渴，除烦，止呕。用于热病烦渴、胃热呕吐、肺热咳嗽、肺痈吐脓、热淋涩痛。,芦根为芦苇的根茎，苇茎为芦苇的嫩茎。二者出自同一种植物，功效相近。但芦根长于生津止渴，苇茎长于清透肺热，略有侧重。药市中多无苇茎供应，可以芦根代之…
天花粉,本品为葫芦科植物栝楼或双边栝楼的干燥根。秋、冬二季采挖，洗净，除去外皮，切段或纵剖成瓣，干燥。别名：栝楼根、白药、瑞雪、天瓜粉、花粉、屎瓜根、栝蒌粉、萎粉,甘、微苦，微寒。,清热生津，消肿排脓。用于热病烦渴，肺热燥咳，内热消渴，疮疡肿毒。脾胃虚寒大便滑泄者忌服。,①治百合病渴②治大渴③治消渴，除肠胃热实④治黑疸危疾⑤治小儿忽发黄，面目皮肉并黄⑥治虚热咳嗽⑦跌打损伤，胸膛痛疼难忍，咳嗽多年不止…
竹叶,别名 淡竹叶、竹亚科、倭竹族、刚竹属。,甘、淡、胃经、心经、肺经。,治热病烦渴，小儿惊痫，咳逆吐衄，面赤，小便短赤，口糜舌疮。,《别录》：主胸中痰热，咳逆上气。《药性论》：主吐血热毒风，止消渴。《食疗本草》：主咳逆，消渴，痰饮，喉痹，除烦热。《日华子本草》：消痰，治热狂烦闷，中风失音不语，壮热，头痛头风，并怀妊人头旋倒地，止惊悸，温疫迷闷，小儿惊痫天吊…
淡竹叶,别名碎骨子、山鸡米、金鸡米、迷身草、竹叶门冬青、竹叶麦冬、金竹叶、长竹叶、山冬、地竹、野麦冬、淡竹米、林下竹、土麦冬。,味甘、淡，性寒。,根药用，其性味甘淡，能清心、解热、利尿、祛烦躁及催产之效，对于牙龈肿痛、口腔炎等也有良好的疗效。,主治胸中疾热、咳逆上气、吐血、热毒风、止消渴、压丹石毒、消痰、治热狂烦闷、中风失音不语、痛头风、止惊悸、瘟疫迷闷、杀小虫、除热缓脾…
腊梅花,腊梅花，亦称蜡梅，一名黄梅。因花色似蜡，又值农历腊月开放，故而得名。,味甘、微苦，性凉，小毒。,具有解暑生津，理气止痛，顺气止咳，散寒解毒的功效。,可治疗心烦口渴、气郁胸闷，跌打、腰痛、风湿麻木、风寒感冒，刀伤出血等症。…
鸭跖草,竹节菜、鸭鹊草、耳环草、蓝花菜、翠蝴蝶、三角菜、三荚菜、桂竹草、蓝花水竹草、淡竹叶,甘、淡，寒。归肺、胃、小肠经。,清热解毒，利水消肿。用于风热感冒，高热不退，咽喉肿痛，水肿尿少，热淋涩痛，痈肿疔毒。,行水，清热，凉血，解毒。治水肿，脚气，小便不利，感冒，丹毒，腮腺炎，黄疸肝炎，热痢，疟疾，鼻衄，尿血，血崩，白带，咽喉肿痛，痈疽疔疮…
栀子,别名 黄栀子、山栀、白蟾、木丹,苦、寒、无毒。清热泻火药。,泻火除烦、清热利湿、凉血解毒 ；焦栀子：凉血止血。热病心烦、肝火目赤、头痛、湿热黄疸、淋证、血痢尿血、口舌生疮、疮疡肿毒、扭伤肿痛。主五内邪气，胃中热气，面赤，酒疱齇鼻，白癞、赤癞，疮疡。疗目热赤痛，胸心大小肠大热，心中烦闷，胃中热气。,用药禁忌：脾虚便溏者忌服。《本草汇言》：吐血衄血，非阳火暴发者忌之。《得配本草》：邪在表，虚火上升，二者禁用…
栀子,别名 黄栀子、山栀、白蟾、木丹,苦、寒、无毒。清热泻火药。,泻火除烦、清热利湿、凉血解毒 ；焦栀子：凉血止血。热病心烦、肝火目赤、头痛、湿热黄疸、淋证、血痢尿血、口舌生疮、疮疡肿毒、扭伤肿痛。主五内邪气，胃中热气，面赤，酒疱齇鼻，白癞、赤癞，疮疡。疗目热赤痛，胸心大小肠大热，心中烦闷，胃中热气。,用药禁忌：脾虚便溏者忌服。《本草汇言》：吐血衄血，非阳火暴发者忌之。《得配本草》：邪在表，虚火上升，二者禁用…
夏枯草,此草夏至后即枯，故有此名。,苦、辛，寒。入肝、胆经。,清肝、散结、利尿;夏枯草为清肝火、散郁结的要药，它所主治的大多是肝经的病症。该品配以菊花、决明子，可清肝明目，治目赤肿痛、配以石决明、钩藤，可平降肝阳，治头痛、头晕;配以玄参、贝母、牡蛎等品，可软坚散结，治瘰历结核。,用于目赤肿痛，目珠夜痛，头痛眩晕，瘰疬，瘿瘤，肿痛;甲状腺肿大，淋巴结结核，乳腺增生，高血压、高血糖、高血脂…
决明子,别名 决明，马蹄决明、假绿豆,味苦、甘、咸，微寒;入肝、肾、大肠经,具有清肝火、祛风湿、益肾明目、清热明目等功效。归肝、肾、大肠经。有减肥之功效。润肠通便，降脂明目，清肝明目，利水通便，有缓泻作用，降血压降血脂的作用。,用于目赤涩痛，羞明多泪，头痛眩晕，目暗不明，大便秘结。治疗便秘及高血脂，高血压。治风热赤眼，青盲，雀目，高血压，肝炎，肝硬化腹水，习惯性便秘等症状…
夜明砂,"本品为少常用中药，原名天鼠屎，""神农本草经""列为中品，""日华本草""称夜明砂。生药为蝙蝠类动物的干燥粪便。别名蝙蝠屎、天鼠屎长椭圆形颗粒，两端微尖，长5～7毫米，直径约2毫米。表面粗糙，棕褐色或灰棕色，常有破碎者，呈小颗粒状或粉末状。在放大镜下观察，可见棕色或黄棕色有光泽的昆虫头、眼及小翅。气无，味微苦而辛。清热明目，活血消积。用于夜盲症，白内障，角膜云翳。全年均可采收，以夏季为宜，采时携带麻袋，到山洞铲取，去其泥土，拣净杂质，晒干即可…",,,
谷精草,别名耳朵刷子、挖耳朵草、珍珠草、鼓槌草、衣钮草、谷精珠[头状花序]、戴星草、文星草、流星草、移星草、鱼眼草、天星草、佛顶珠、灌耳草,辛、甘，平。归肝、肺经。,疏散风热，明目，退翳。用于风热目赤，肿痛羞明，眼生翳膜，风热头痛，夜盲症等。,放木箱内置通风干燥处。本品不宜饮润，宜干切段片…
密蒙花,别名蒙花、蒙花珠、老蒙花、羊耳朵朵尖、水锦花、黄花醉鱼草、小锦花、黄饭花、疙瘩皮树花、鸡骨头花。,味甘，性微寒。 归肝，胆经。,具有清热养肝、明目退翳的功效，主要用于目赤翳障。本品甘寒，主入肝经，能清肝火，养肝润燥，而明目退翳。用于肝火上炎、目赤肿痛、羞明多泪、目生翳障等症，常与菊花、木贼等同用;若肝虚有热，目昏干涩，或生翳障者，可与枸杞子、沙苑子、菟丝子等药配伍。,主治目赤肿痛，多泪羞明，眼生翳膜，肝虚目暗，视物昏花…
天麻子,天麻子又称木通树或通草。五加科灌木或小乔木，原产华南和台湾，是制宣纸的原料。,味甘，性寒。,具有补虚定风，益气固精，补血，黑发，催乳的功效。,主治眩晕，眼黑，头风头痛，少气失精，须发早白等症。
青葙子,本品为苋科植物青葙的干燥成熟种子。秋季果实成熟时采割植株或摘取果穗，晒干，收集种子，除去杂质。别名：野鸡冠花、狗尾花、狗尾苋。,苦，微寒。,清肝，明目，退翳。用于肝热目赤，眼生翳膜，视物昏花，肝火眩晕。,为了避免混淆，建议处方使用原植物名称，勿用“草决明”别名。青葙子常于清肝降火，又有扩散瞳孔的作用，故对肝肾不足所致的目疾及瞳孔散大者，不宜应用…
乌蛇胆,为游蛇科动物乌梢蛇的胆。将蛇剖开腹部，找出胆囊，用线扎住胆管上端，然后沿结扎处上方剪断，取出晾干。,性凉，味苦微甘，无毒。,祛风，通络，止痉。用于风湿顽痹，麻木拘挛，中风口眼歪斜，半身不遂，抽搐痉挛，破伤风，麻风疥癣，瘰疬恶疮。,滋补肝肾，强筋健骨去风除湿，舒筋通络、活雪通脉、行气止痛；清热解毒等功效。血虚生风者忌用…
猪胆汁,猪胆汁为猪科动物的胆汁，可作中药，味苦、寒、咸，功效分类为化痰止咳平喘药，化痰药。,苦、寒、咸。,为化痰止咳平喘药，化痰药。猪胆汁一个，冲温开水服，治黄疸；猪胆汁一个，调入雄黄粉10克成糊状，涂搽患处，治头癣；猪胆一个，调入雄黄粉少许，将患指塞入猪胆内，猪胆口部用线扎住，一两日换一个，治脓性指头炎；猪胆内装满黑豆，蒸熟，晒干，每次服二十至三十粒，一日两次，治高血压。,治消渴、便秘、黄疸、百日咳、哮喘、泄泻、痢疾、目赤、喉痹、盯耳、痈肿…
金银花,又名忍冬，忍冬花，金花，银花，二花，密二花等。,金银花味甘，微苦，性寒。归肺、胃、心、大肠经。,乙脑、流脑，痢疾，热淋，胆道感染，创口感染，疮疡痛;肿毒，喉痹乳蛾，痈疽发背，内外痈肿，大肠生痈，抗炎，解热，降血脂，抗菌，抗病毒，增强免疫，痢疾、伤寒、脑膜炎，肺炎，身热头痛、心烦少寐、神昏舌绛、咽干口燥，急慢性扁桃体炎、牙周炎等。,用于预防乙脑、流脑，对肺炎球菌、脑膜炎双球菌、绿脓杆菌、结核杆菌、志贺氏痢疾杆菌、变形链球菌等有抑菌和杀菌作用…
金莲花,别名旱荷，茎柔软攀附，叶圆形似荷叶，是很好的装饰用花卉，具药用功能。,味苦，性寒。,清热解毒、抗病毒、抗菌。,急、慢性扁桃体炎，急性中耳炎，急性鼓膜炎，急性结膜炎，急性淋巴管炎。…
玳瑁,玳瑁属爬行纲，海龟科的海洋动物，分布在广大的海域中。其甲片可入药。,味甘，性寒，无毒。,有清热解毒、镇心安神、平肝熄风的作用。,可用于温热病的壮热神昏、说胡话，以及小儿惊风、神昏痉厥抽搐等症。
连翘,又名一串金、旱连子、黄奇丹、连壳、黄花条、落翘等。,连翘味苦，性微寒。入心、肝、胆、胃、三焦、大肠经。,抗炎、抗菌、抗病毒、解热、镇痛、强心、利尿、降血压、抑制弹性蛋白酶活力、抗内毒素，热病初起，风热感冒，心烦，咽喉肿痛，斑疹，丹毒，急性肾炎，热淋，肠刺痛，肠热，身热口渴，面赤唇焦，口舌生疮，便秘溲赤，大便不畅，乳腺炎，肠痈，结核不消等。,用于清热、解毒、散结排脓，风热感冒，痈疽，乳痈，丹毒，风热感冒，温病初起，温热入营，高热烦渴，神昏发斑，热淋尿闭…
穿心莲,别名榄核莲、一见喜、斩舌剑、苦草、苦胆草、四方草,苦，寒。归心、肺、大肠、膀胱经。,清热解毒，凉血消肿。治急性菌痢，胃肠炎，感冒，流脑，气管炎，肺炎，百日咳，肺结核，肺脓疡，胆囊炎，高血压，鼻衄，口咽肿痛，疮疖痈肿，水火烫伤，毒蛇咬伤。,治疗各种感染性疾病，治疗钩端螺旋体病，治疗肠伤寒，治疗急性黄疽型肝炎，治疗肺炎及其他呼吸道炎症，治疗小儿消化不良和菌痢，治疗小儿乙型脑炎，治疗麻风…
大青叶,爵床科植物马蓝。十字花科植物菘蓝及大青。蓼科植物蓼蓝。豆科植物木蓝。以上植物的叶，都做为大青叶使用，也均能作为制青黛的原料，除木蓝外，其根均作为板蓝根使用。,味苦，性寒。味苦，性寒。,清热，解毒，凉血，止血。治温病热盛烦渴，流行性感冒，急性传染性肝炎，菌痢，急性胃肠炎，急性肺炎，丹毒，吐血，衄血，黄疸，痢疾。,用于热病高热烦渴；神昏；斑疹；吐血；衄血；黄疸；泻痢；丹毒；喉痹；口疮；痄腮…
板蓝根,又名靛青根、蓝靛根、大青根等。全国各地均产。,板蓝根味苦、性寒；归心、胃、肝、胆经。,温毒发斑；高热头痛，大头瘟疫;舌绛紫暗，烂喉丹痧;丹毒，喉痹，疮肿、痈肿；水痘，麻疹；流行性感冒，流脑，乙脑，肺炎，神昏吐衄，咽肿，火眼，疮疹；可防治肝炎，流行性乙型脑炎、急慢性肝炎、流行性腮腺炎、骨髓炎；白血病，抗肿瘤，提高免疫功能。,板蓝根常用于防治流行性乙型脑炎，传染性肝炎，流行性腮腺炎，治疗感冒，暴发性红眼，扁平疣，单纯性疱疹性口炎等…
青黛,本品为爵床科植物马蓝、蓼科植物蓼蓝或十字花科植物菘蓝的叶或茎叶经加工制得的干燥粉末或团块。别名：靛、靛花、靛沫、蓝靛,咸，寒。,清热解毒，凉血，定惊。用于温毒发斑，血热吐衄，胸痛咳血，口疮，痄腮，喉痹，小儿惊痫。,青黛尚可治疗间接胆红素增高症、癫痫、鼻前庭炎、消化道出血、褥疮、睾丸炎、肛门湿疹以及老年性阴道炎等。靛玉红可引起强烈腹泻和便血。胃寒者慎用…
鸡蛋花,鸡蛋花别名缅栀子、蛋黄花，原产美洲，适合于庭院、草地中栽植，也可盆栽，可入药。,味甘，性平，无毒。,具有清热解暑、润肺润喉咙的功效，还可以治疗咽喉疼痛等疾病。,主治感冒发热，肺热咳嗽，湿热黄疸，泄泻痢疾，尿路结石等症。
贯众,主要为鳞毛蕨科植物粗茎鳞毛蕨，蹄盖蕨科植物蛾眉蕨，球子蕨科植物荚果蕨，紫萁科植物紫萁，乌毛蕨科植物乌毛蕨、苏铁蕨、狗脊蕨等的根茎。春、秋采挖，削去叶柄、须根，除净泥土，晒干。,苦，凉。,杀蛔、绦、蛲虫，清热，解毒，凉血，止血。治风热感冒。温热斑疹，吐血，衄血，肠风便血，血痢，血崩，带下，疮疡，尿血，月经过多，刀伤出血，蛔虫、饶虫、绦虫病，人工流产，产后出血。,阴虚内热及脾胃虚寒者不宜，孕妇慎用…
蒲公英,又名蒲公草、食用蒲公英、尿床草、地丁、婆婆丁等。,蒲公英味甘，微苦，性寒。归肝、胃、肾经。,急性乳腺炎，淋巴腺炎，瘰疠，疔毒疮肿，急性结膜炎，感冒发热，急性扁桃体炎，急性支气管炎、胃炎，肝炎，胆囊炎，尿路感染，清肝热，肝热目赤肿痛，乳痈肿痛，抗肿瘤，利湿，胃溃疡，利胆，保肝，抗菌，急性阑尾炎，盆腔炎，眼结膜炎，上呼吸道感染等。,用于消化不良、便秘，叶子还有改善湿疹、舒缓皮肤炎、关节不适的净血功效，根则具有消炎作用，可以治疗胆结石、风湿等…
桑树叶,：桑叶是桑科植物桑的干燥叶，又名家桑、荆桑、桑椹树、黄桑等。,味苦，性平。,疏散风热，清肝明目，清肺润燥。,风热感冒和目赤肿痛，燥热伤肺和干咳少痰。…
紫花地丁,"别名 
铧头草、光瓣堇菜、堇堇菜、箭头草、地丁、角子、独行虎、地丁草、宝剑草、犁头草、紫地丁、免耳草、金前刀、小角子花。",辛、苦、心经、肝经。,可入药，其性寒味微苦，清热解毒，凉血消肿。主治黄疸、痢疾、乳腺炎、目赤肿痛、咽炎;外敷治跌打损伤、痈肿、毒蛇咬伤等。,黄疸内热。痈疽恶疮、痈疽发背、疔疮肿毒、喉痹肿痛…
野菊花,又名野黄菊花、苦薏、山菊花、甘菊花等。,野菊花味辛、苦;性微寒，归肺、肝经。,预防感冒、脑炎;红眼病，咽喉肿痛，湿疹，皮肤瘙痒，痈疽疔肿、丹毒、毒蛇咬伤，痔疮伴炎症，前列腺炎，宫颈炎，慢性盆腔炎，外生殖器瘙痒，治泌尿系统感染，肠风，肝热型高血压，排脓解毒，消肿止痛;霍乱，腹痛，白喉，口疮，小儿高热抽搐，高血压等。,用于痈疽疗肿化脓病，功能清热解毒，消肿。对金黄色葡萄球菌、白喉杆菌、绿脓杆菌、蒺疾杆菌、流感病毒，均有抑制作用…
重楼,,苦，微寒；有小毒。归肝经。,,用于疔疮痈肿，咽喉肿痛，毒蛇咬伤，跌扑伤痛，惊风抽搐…
梨皮,梨皮，为蔷薇科梨属植物白梨、沙梨、秋子梨的果皮。气微，味微甜而酸。,性凉，味甘涩。,有清心降火，滋肾益阴，生津止渴，健脾益胃，除烦去湿的功效。,常用于治疗暑热烦渴，痢疾，咳嗽，吐血，发背，疔疮。
拳参,本品为蓼科植物拳参的干燥根茎。春初发芽时或秋季茎叶将枯萎时采挖，除去泥沙，晒干，去须根。别名：紫参、草河车、刀剪药、铜罗,苦、涩，微寒。,清热解毒，消肿，止血。用于赤痢，热泻，肺热咳嗽，口舌生疮，吐血，衄血，痔疮出血，毒蛇咬伤。,拳参味苦性凉，入大肠经能清热解毒，凉血止痢，故可用治下痢脓血等症。无实火热毒者不宜。阴证外疡忌服…
漏芦,狼头花、野兰、鬼油麻、独花山牛蒡、和尚头花、鹿骊、和尚头、大头翁、祁漏芦、禹漏芦、龙葱根、毛头。,味微咸，性寒，有小毒、胃经。,清热解毒，消痈，下乳，舒筋通脉。用于乳痈肿痛，痈疽发背，瘰疬疮毒，乳汁不通，湿痹拘挛。,《本经》“皮肤热毒，恶疮疽痔，湿痹，下乳汁。久服轻身益气，耳目聪明，不老延年。”《本经逢原》漏芦，《本经》治热毒恶疮，下乳汁，以其能利窍也，为消毒排脓杀虫要药。盖咸能软坚，寒能解毒，故服之必大便作泻，使邪从下而出也…
冬凌草,冬凌草又名冰凌草，具有消炎止痛、健胃活血之效。,味苦、甘，性微寒。,清热毒、活血止痛、抑菌、抗肿瘤,咽喉肿痛、扁桃体炎、感冒头痛、气管炎、慢性肝炎、关节风湿痛、蛇虫咬伤。…
土茯苓,又名禹余粮、白余粮、刺猪苓、土苓、红土苓等。,土茯苓味甘、淡，性平，有毒。归肝、胃、脾经。,梅毒，丹毒，淋病，筋骨挛痛，脚气，疗疔疮，抗肿瘤，预防肝癌，杨梅风，血淋，风湿骨痛，疮疡肿毒，风气痛，风毒疮癣，大毒疮红肿，皮炎，妇人红崩，白带，小儿疳积，瘿瘤，小儿先天性梅毒性口炎，慢性盆腔炎，银屑病，急性菌痢，膝关节积液，头痛等。,用于治梅毒，淋病，脚气，疗疔疮，痈肿，瘰疬，梅毒及汞中毒所致的肢体拘挛，筋骨疼痛，对预防肝癌有一定的实用价值等…
鱼腥草,又名折耳根、臭菜、侧耳根、臭根草、臭灵丹、朱皮拱,鱼腥草味辛、苦，性寒。归肝、肺、膀胱、大肠经。,肺炎、上呼吸道感染、支气管炎、百日咳、流感、肺脓疡、癌性胸水、肺癌、宫颈糜烂、化脓性关节炎、习惯性便秘、急性细菌性痢疾、急性黄疸性肝炎、肾病、单纯疱疹性角膜炎、鼻炎、扁桃腺炎，化脓性中耳炎、丘疹状荨麻疹、咽炎、前列腺炎等。,用于抗病原微生物作用，尿路感染的频尿涩痛，肺痈咳吐脓血及肺热咳嗽，痰黄而稠，肺脓疡，肺炎，急、慢性气管炎等…
金荞麦,金荞麦为蓼科植物，别名苦荞麦、野桥荞麦、天荞麦。多年生宿根草本，高0.5-1.5m。主根粗大，呈结节状，横走，红棕色。茎直立，多分枝，具棱槽，淡绿微带红色，全株微被白色柔毛。单叶互生，具柄，柄上有白色短柔毛。清热解毒，排脓祛瘀。用于肺脓疡，麻疹肺炎，扁桃体周围脓肿。金荞麦适应性较强，喜温暖气候，在15－30℃的温度下生长良好，在-15℃左右地区栽培可安全越冬。适宜在肥沃疏松的砂壤土中种植，而黏土及排水差的地种植产量、质量均差…,,,
大血藤,别名血藤、红皮藤、千年健、大活血、五花血藤、红藤、赤沙藤、蕨心藤、活血藤、血通、血木通、穿尖龙、半血莲、过血藤、血灌肠、花血藤、黄梗藤、八卦薛、黄鸡 藤、血陈根、红牛鼻陈、山红藤、五花七、五花血通、大血通、红血藤、黄省藤、鱼藤、红菊花心、过山龙、血竭、见血飞、槟榔钻。,"味甘、苦,凉。归心、肝经。",败毒消痈，活血通络，祛风杀虫的作用。,治急、慢性阑尾炎，肠痈腹痛，风湿痹痛，赤痢，血淋，月经不调，经闭痛经，疳积，虫痛，跌扑损伤…
